land_cover,eligible_actions_count,action_code,action_name,theme,rate_text
Rivers and Streams type 2,6,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Rivers and Streams type 2,6,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Rivers and Streams type 2,6,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Rivers and Streams type 3,6,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Rivers and Streams type 3,6,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Rivers and Streams type 3,6,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Rivers and Streams type 3,6,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Rivers and Streams type 3,6,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Rivers and Streams type 3,6,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Rocky outcrop,6,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Rocky outcrop,6,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Rocky outcrop,6,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Rocky outcrop,6,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Rocky outcrop,6,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Rocky outcrop,6,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Scree,6,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Scree,6,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Scree,6,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Scree,6,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Scree,6,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Scree,6,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Scrub - ungrazeable,10,BFS6,6m to 12m habitat strip next to watercourses,Buffer Strips,£742/ha
Scrub - ungrazeable,10,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Scrub - ungrazeable,10,SCR1,Create scrub and open habitat mosaics,Species Recovery/Management,£588/ha
Scrub - ungrazeable,10,SCR2,Manage scrub and open habitat mosaics,Species Recovery/Management,£350/ha
Scrub - ungrazeable,10,SPM5,Keep native breeds on extensively managed habitats supplement (more than 80%),Species Recovery/Management,£11/ha
Scrub - ungrazeable,10,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Scrub - ungrazeable,10,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Scrub - ungrazeable,10,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Scrub - ungrazeable,10,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Scrub - ungrazeable,10,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Shingle,6,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Shingle,6,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Shingle,6,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Shingle,6,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Shingle,6,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Shingle,6,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Short rotation coppice,16,BND1,Maintain dry stone walls,Boundary Features,£27/100m (both sides)
Short rotation coppice,16,BND2,Maintain earth banks or stone-faced hedgebanks,Boundary Features,£11/100m (both sides)
Short rotation coppice,16,CAHL1,Pollen and nectar flower mix,Farmland Wildlife - Arable/Horticultural,£739/ha
Short rotation coppice,16,CAHL2,Winter bird food on arable and horticultural land,Farmland Wildlife - Arable/Horticultural,£648/ha*
Short rotation coppice,16,CAHL3,Grassy field corners or blocks,Farmland Wildlife - Arable/Horticultural,£590/ha
Short rotation coppice,16,CAHL4,4m-12m grass buffer strip on arable and horticultural land,Buffer Strips,£515/ha
Short rotation coppice,16,CHRW2,Manage hedgerows,Boundary Features,£13/100m (one side)
Short rotation coppice,16,CIPM2,"Flower-rich grass margins, blocks or in-field strips",Integrated Pest Management,£798/ha
Short rotation coppice,16,CIPM3,Companion crop on arable and horticultural land,Integrated Pest Management,£55/ha
Short rotation coppice,16,CIPM4,No use of insecticide on arable crops and permanent crops,Integrated Pest Management,£45/ha
Short rotation coppice,16,CNUM3,Legume fallow,Nutrient Management,£532/ha*
Short rotation coppice,16,CSAM2,Multi-species winter cover crop,Soil Health,£129/ha
Short rotation coppice,16,OFC5,Organic conversion - top fruit,Organic,"£1,920/ha"
Short rotation coppice,16,OFM6,Organic land management - top fruit,Organic,"£1,920/ha"
Short rotation coppice,16,PRF2,Camera or remote sensor guided herbicide spraying,Precision Farming,£43/ha
Short rotation coppice,16,WBD2,Manage ditches,Waterbodies,£4/100m (both sides)
Temporary grass,36,AGF1,Maintain very low density (30-50 trees/ha) in-field agroforestry on less sensitive land,Agroforestry,£248/ha
Temporary grass,36,AHW10,Low input harvested cereal crop,Farmland Wildlife - Arable/Horticultural,£354/ha
Temporary grass,36,AHW11,Cultivated areas for arable plants,Farmland Wildlife - Arable/Horticultural,£660/ha
Temporary grass,36,AHW2,Supplementary winter bird food,Farmland Wildlife - Arable/Horticultural,£732/t (max 1t per 2ha CAHL2)
Temporary grass,36,AHW3,Beetle banks,Farmland Wildlife - Arable/Horticultural,£764/ha
Temporary grass,36,AHW8,Whole crop spring cereals and overwinter stubble,Farmland Wildlife - Arable/Horticultural,£596/ha
Temporary grass,36,AHW9,Unharvested cereal headland,Farmland Wildlife - Arable/Horticultural,"£1,072/ha"
Temporary grass,36,BFS1,12m-24m watercourse buffer strips on cultivated land,Buffer Strips,£707/ha
Temporary grass,36,BFS6,6m to 12m habitat strip next to watercourses,Buffer Strips,£742/ha
Temporary grass,36,BND1,Maintain dry stone walls,Boundary Features,£27/100m (both sides)
Temporary grass,36,BND2,Maintain earth banks or stone-faced hedgebanks,Boundary Features,£11/100m (both sides)
Temporary grass,36,CAHL1,Pollen and nectar flower mix,Farmland Wildlife - Arable/Horticultural,£739/ha
Temporary grass,36,CAHL2,Winter bird food on arable and horticultural land,Farmland Wildlife - Arable/Horticultural,£648/ha*
Temporary grass,36,CAHL3,Grassy field corners or blocks,Farmland Wildlife - Arable/Horticultural,£590/ha
Temporary grass,36,CAHL4,4m-12m grass buffer strip on arable and horticultural land,Buffer Strips,£515/ha
Temporary grass,36,CHRW2,Manage hedgerows,Boundary Features,£13/100m (one side)
Temporary grass,36,CIGL2,Winter bird food on improved grassland,Farmland Wildlife - Grassland,£515/ha
Temporary grass,36,CIPM2,"Flower-rich grass margins, blocks or in-field strips",Integrated Pest Management,£798/ha
Temporary grass,36,CIPM3,Companion crop on arable and horticultural land,Integrated Pest Management,£55/ha
Temporary grass,36,CNUM2,Legumes on improved grassland,Nutrient Management,£102/ha
Temporary grass,36,CNUM3,Legume fallow,Nutrient Management,£532/ha*
Temporary grass,36,CSAM2,Multi-species winter cover crop,Soil Health,£129/ha
Temporary grass,36,CSAM3,Herbal leys,Soil Health,£224/ha*
Temporary grass,36,OFC3,Organic conversion - rotational land,Organic,£298/ha
Temporary grass,36,OFC4,Organic conversion - horticultural land,Organic,£874/ha
Temporary grass,36,OFM4,Organic land management - rotational land,Organic,£132/ha
Temporary grass,36,OFM5,Organic land management - horticultural land,Organic,£707/ha
Temporary grass,36,PRF1,Variable rate application of nutrients,Precision Farming,£27/ha
Temporary grass,36,PRF2,Camera or remote sensor guided herbicide spraying,Precision Farming,£43/ha
Temporary grass,36,SCR1,Create scrub and open habitat mosaics,Species Recovery/Management,£588/ha
Temporary grass,36,SOH1,No-till farming,Soil Health,£73/ha
Temporary grass,36,SPM3,Keep native breeds on grazed habitats supplement (more than 80%),Species Recovery/Management,£146/ha
Temporary grass,36,WBD2,Manage ditches,Waterbodies,£4/100m (both sides)
Temporary grass,36,WBD3,In-field grass strips,Waterbodies,£765/ha
Temporary grass,36,WBD4,Arable reversion to grassland with low fertiliser input,Waterbodies,£489/ha
Temporary grass,36,WBD6,Remove livestock from intensive grassland during the autumn and winter (outside SDAs),Waterbodies,£115/ha
Track - natural surface,6,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Track - natural surface,6,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Track - natural surface,6,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Track - natural surface,6,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Track - natural surface,6,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Track - natural surface,6,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
